block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_2-1-11,BLUE_merged_67207,1,0,Unicity Shopping Centre,3392,2_merged_67231,7207_merged_80088
b_2-43-2,43_merged_67224,1,1,RRC Polytech,3256,2_merged_67231,9465_merged_77570
b_2-38-4,38_merged_67213,1,0,Kildonan Place,3248,2_merged_67231,9437_merged_82229
a_1-19-11,19,1,0,Notre Dame,3071,1_merged_67226,1796_merged_70824
a_3-14-1,14,1,1,Ferry Road,957,3_merged_67227,12393_merged_71232
b_1-1-60,BLUE_merged_67207,1,1,St. Norbert,3402,1_merged_67229,541_merged_82130
b_2-6-1,F6,1,1,South St. Vital,3449,2_merged_67231,7819_merged_76121
b_1-145-1,442,1,1,Kildonan Place Hub,3307,1_merged_67229,5663
a_2-19-2,19,1,0,Logan,3069,2_merged_67228,9051_merged_74784
a_1-79-2,79,1,0,Westdale via Kenaston,1477,1_merged_67226,5745_merged_70425
b_3-8-3,F8,1,1,University of Manitoba,3461,3_merged_67230,11011_merged_82596
b_2-16-3,D16,1,0,Polo Park,3433,2_merged_67231,8848_merged_75836
b_1-14-17,D14,1,1,Wall Street,3423,1_merged_67229,3384_merged_76869
a_1-100-15,60,1,1,Downtown,3092,1_merged_67226,6578_merged_69404
a_1-78-2,78,1,1,Polo Park,3100,1_merged_67226,5595_merged_68522
a_2-135-1,635,1,1,Harkness Station,2407,2_merged_67228,11504_merged_75038
a_2-100-7,60,1,0,University of Manitoba,3091,2_merged_67228,11282_merged_67369
a_1-85-4,85,1,1,Henderson & Whellams,1499,1_merged_67226,5913_merged_70320
a_2-47-1,47,1,0,Transcona via Kildare,3088,2_merged_67228,10148_merged_69334
b_2-19-3,D19,1,0,Downtown,3443,2_merged_67231,9066_merged_79335
a_2-15-4,15,1,0,Airport via Wellington,971,2_merged_67228,8567_merged_75427
a_3-15-1,15,1,1,Mountain & Fife,969,3_merged_67227,12485_merged_74310
b_1-1-34,74_merged_67225,1,0,Waterford Green,3270,1_merged_67229,316_merged_76919
b_3-43-2,43_merged_67224,1,1,RRC Polytech,3256,3_merged_67230,12107_merged_77998
b_1-6-12,F6,1,1,South St. Vital,3449,1_merged_67229,1924_merged_82702
b_1-123-1,223,1,1,Westdale,3513,1_merged_67229,5020_merged_81166
a_2-177-1,677_merged_67186,1,0,Outlet Mall via Wilkes,2433,2_merged_67228,11957_merged_69200
a_2-17-4,17,1,0,Seven Oaks Hospital,1084,2_merged_67228,8828_merged_75545
b_1-5-12,F5,1,0,Garden City Centre,3444,1_merged_67229,1716_merged_80420
a_1-193-1,693,1,0,Bridgwater Forest,2442,1_merged_67226,7857_merged_73657
a_1-38-4,38_merged_67190,1,0,Templeton & McPhillips,1278,1_merged_67226,3338_merged_74047
a_3-15-1,15,1,0,Airport via Wellington,971,3_merged_67227,12478_merged_69422
a_1-142-1,642_merged_67194,1,0,Fort Garry Industrial Park via Lindenwoods East,2411,1_merged_67226,7178_merged_72531
a_3-16-2,16,1,0,Tyndall Park via Manitoba,1042,3_merged_67227,12589
a_3-16-2,16,1,1,Southdale Centre,1018,3_merged_67227,12588
b_1-162-1,662_merged_67203,1,0,University of Manitoba,3339,1_merged_67229,6210_merged_75811
a_1-16-10,16,1,1,Island Lakes via Southdale Centre,999,1_merged_67226,1024_merged_74527
a_3-16-2,16,1,0,Tyndall Park via Burrows,1044,3_merged_67227,12583
a_3-16-2,16,1,1,St.Vital Centre,1034,3_merged_67227,12582
