stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
41010,41010,Southbound Plessis at Pandora,49.8938832714296,-97.02548724015905,https://winnipegtransit.com/stops/41010
41011,41011,Eastbound Kimberly at London,49.918602470149395,-97.07736073652546,https://winnipegtransit.com/stops/41011
41012,41012,Westbound Tu-Pelo at Budden,49.92704828647003,-97.06922181479663,https://winnipegtransit.com/stops/41012
41013,41013,Eastbound Tu-Pelo at Budden,49.92674932558629,-97.06909442507595,https://winnipegtransit.com/stops/41013
41014,41014,Westbound Edmund Gale at Ravenhurst,49.89514265447131,-96.96934750999077,https://winnipegtransit.com/stops/41014
41015,41015,Westbound Edmund Gale at Audette,49.8959241890704,-96.97287946681894,https://winnipegtransit.com/stops/41015
41016,41016,Northbound Audette at George Marshall,49.8986640261476,-96.97318240281439,https://winnipegtransit.com/stops/41016
41017,41017,Eastbound Audette at George Marshall,49.8985858096704,-96.97333886264008,https://winnipegtransit.com/stops/41017
41018,41018,Eastbound Edmund Gale at Audette,49.89576190730578,-96.97285841827313,https://winnipegtransit.com/stops/41018
41019,41019,Northbound Edmund Gale at Kildare,49.900498755769426,-96.96394207446555,https://winnipegtransit.com/stops/41019
41020,41020,Eastbound Transcona at Edward Schreyer,49.90141817688235,-97.03800579899165,https://winnipegtransit.com/stops/41020
41021,41021,Westbound Transcona at Edward Schreyer,49.90165707824867,-97.03830248810691,https://winnipegtransit.com/stops/41021
41024,41024,Westbound El Tassi at Peguis,49.902962837087266,-97.05010122020163,https://winnipegtransit.com/stops/41024
41026,41026,Westbound El Tassi at Art Miki,49.9048007249301,-97.05722752834944,https://winnipegtransit.com/stops/41026
41027,41027,Northbound Art Miki at Ravelston,49.90641816780871,-97.05766394133875,https://winnipegtransit.com/stops/41027
41028,41028,Northbound Philip Lee at Golden Boy,49.908439129199216,-97.05481101200893,https://winnipegtransit.com/stops/41028
41029,41029,Eastbound Prairie Crocus at Angela Everts,49.90868754715822,-97.05193176106901,https://winnipegtransit.com/stops/41029
41030,41030,Eastbound Prairie Crocus at Peguis,49.9083874753983,-97.04800212897602,https://winnipegtransit.com/stops/41030
41031,41031,Westbound McIvor at Fair,49.94529248358113,-97.05591943959546,https://winnipegtransit.com/stops/41031
41032,41032,Westbound McIvor at Chornick,49.94727383734955,-97.0603560787745,https://winnipegtransit.com/stops/41032
41033,41033,Westbound McIvor at Cranlea,49.94844223445289,-97.0629855983733,https://winnipegtransit.com/stops/41033
41034,41034,Eastbound McIvor at Cranlea,49.94827996668825,-97.06296422882343,https://winnipegtransit.com/stops/41034
41035,41035,Eastbound McIvor at Chornick,49.947130480554776,-97.06038971680681,https://winnipegtransit.com/stops/41035
41036,41036,Eastbound McIvor at Fair,49.945111301248694,-97.05584310067572,https://winnipegtransit.com/stops/41036
41037,41037,Westbound Prairie Crocus at Peguis,49.908478773319935,-97.04808201326463,https://winnipegtransit.com/stops/41037
41038,41038,Westbound Prairie Crocus at Angela Everts,49.90892805322319,-97.05232599704945,https://winnipegtransit.com/stops/41038
41039,41039,Southbound Philip Lee at Golden Boy,49.9084776579773,-97.05496267395112,https://winnipegtransit.com/stops/41039
41040,41040,Southbound Art Miki at Ravelston,49.90663413779727,-97.0576691935752,https://winnipegtransit.com/stops/41040
41041,41041,Eastbound El Tassi at Art Miki,49.9046741778793,-97.05719083079144,https://winnipegtransit.com/stops/41041
41043,41043,Eastbound Devonshire at Private Davy,49.90835740906706,-97.0440894778908,https://winnipegtransit.com/stops/41043
41044,41044,Eastbound Devonshire at Jerry Klein,49.90829962624341,-97.03854833801574,https://winnipegtransit.com/stops/41044
41045,41045,Northbound Kildonan Meadow at Devonshire,49.909003019517066,-97.03123517160604,https://winnipegtransit.com/stops/41045
41046,41046,Northbound Kildonan Meadow at Edna Perry,49.91125024393791,-97.03167296646285,https://winnipegtransit.com/stops/41046
41047,41047,Eastbound Kildonan Meadow at Tommy Douglas,49.913426453537966,-97.02952274183255,https://winnipegtransit.com/stops/41047
41048,41048,Southbound Plessis at Sanford Fleming,49.90600926979545,-97.02552136578966,https://winnipegtransit.com/stops/41048
41049,41049,Southbound Plessis at Kildonan Meadow,49.903914156012064,-97.0255651330525,https://winnipegtransit.com/stops/41049
41050,41050,Eastbound Pandora at Plessis,49.89335024782941,-97.02429760425191,https://winnipegtransit.com/stops/41050
41051,41051,Eastbound Pandora at Hoka,49.89334624289601,-97.01565092794925,https://winnipegtransit.com/stops/41051
41052,41052,Northbound Redonda at St. Martin,49.90349739620476,-96.97901023372717,https://winnipegtransit.com/stops/41052
41053,41053,Northbound Redonda at McMeans,49.90570956208192,-96.97897348389495,https://winnipegtransit.com/stops/41053
41054,41054,Northbound Redonda at Bramwell,49.90687370764647,-96.97918945583439,https://winnipegtransit.com/stops/41054
41055,41055,Southbound Redonda at Bramwell,49.906750297387575,-96.97933389356062,https://winnipegtransit.com/stops/41055
41056,41056,Southbound Redonda at McMeans,49.905299246116755,-96.9791716923248,https://winnipegtransit.com/stops/41056
41057,41057,Southbound Redonda at St. Martin,49.90358169567397,-96.97920168946251,https://winnipegtransit.com/stops/41057
41058,41058,Northbound Plessis at Regent,49.89541680594662,-97.0252157720638,https://winnipegtransit.com/stops/41058
41059,41059,Northbound Plessis at Kildare,49.9006528318104,-97.02526657275452,https://winnipegtransit.com/stops/41059
41060,41060,Northbound Plessis at Sanford Fleming,49.906309191914964,-97.02517485158819,https://winnipegtransit.com/stops/41060
41061,41061,Northbound Plessis at Devonshire,49.90965446558706,-97.0251217821484,https://winnipegtransit.com/stops/41061
